Job,Company,City,Salary,Average_salary,Remote,Skills
Senior MLOPS Engineer,BCF Software Sp. z o.o.,Wrocław,Undisclosed Salary,Not known,not fully remote,"Machine Learning, MLOps, "
Big Data Analyst,InPost,Warszawa,Undisclosed Salary,Not known,Fully remote,"Python, SQL, PySpark, "
Architekt Danych,BEST S.A.,Gdynia,Undisclosed Salary,Not known,Fully remote,"MS SQL, Cassandra, PostgreSQL, "
Tech Lead - Data Engineering,Stonex Poland,Kraków,Undisclosed Salary,Not known,not fully remote,"Algorithms, C#, "
AI Applications Engineer in Data&AI (She/He/They),Accenture,Warszawa,Undisclosed Salary,Not known,not fully remote,"Python, GCP, "
Data Scientist - Location Intelligence,Allegro,Poznañ,Undisclosed Salary,Not known,not fully remote,"Data Scientist, Data analysis, "
Senior Data Science & Business Analyst,Wakacje.pl,Gdañsk,Undisclosed Salary,Not known,not fully remote,"Python, SQL, "
Data Science Team Leader (Obszar Marketingu),Wakacje.pl,Gdañsk,Undisclosed Salary,Not known,not fully remote,"Python, SQL, "
Experienced Data Warehouse Engineer,Future Mind,Warszawa,18 000 - 24 000 pln,210000,Fully remote,"SQL, Cloud Data Warehouse, Data modeling, "
Experienced Data Engineer (Databricks),Future Mind,Warszawa,18 000 - 24 000 pln,210000,Fully remote,"Databricks, PySpark, Python, "
"AVP, FC Detection & DE (Senior Data Analyst)",HSBC Service Delivery,Kraków,15 000 - 20 000 pln,175000,not fully remote,"Hadoop, Data, "
Data DevOps,PKO Bank Polski,Warszawa,Undisclosed Salary,Not known,not fully remote,"MsSQL, CI/CD, "
Database Developer,NeoGames,Kraków,Undisclosed Salary,Not known,not fully remote,"MsSQL, T-SQL, "
Senior Data Engineer (ETL + Python + AWS),1dea,Warszawa,27 720 - 31 080 pln,294000,Fully remote,"Python, SQL, ETL, "
ETL/IPC Developer,7N,Warszawa,21 840 - 24 360 pln,231000,Fully remote,"Informatica Powercenter, ETL, SQL, "
Programista Big Data,7N,Warszawa,18 480 - 26 040 pln,222600,Fully remote,"Spark, Hadoop, SQL, "
Data Management Analyst,Pandora Jewelry,Warszawa,Undisclosed Salary,Not known,not fully remote,"Excel, ETL, "
Master Data Management Consultant - Fixed-term contract (6 months),Lingaro,Warszawa,Undisclosed Salary,Not known,Fully remote,"SQL, GCP, Azure, "
Specjalista ds. Automatyzacji Procesów Biznesowych,Adamed,Pabianice,Undisclosed Salary,Not known,Fully remote,"RPA, Webcon, VBA, "
Senior BI Solutions Consultant (Microsoft Fabric),APN Promise S.A.,Warszawa,18 000 - 28 000 pln,230000,not fully remote,"Power Query, DAX, "
Kontroler ds. Automatyzacji Procesów Biznesowych,Adamed,Pabianice,Undisclosed Salary,Not known,Fully remote,"RPA, Webcon, "
Senior Data Engineer,STX Next,Poznañ,22 400 - 28 800 pln,256000,Fully remote,"Python, NoSQL, SQL, "
Data Privacy Manager,HSBC Service Delivery,Kraków,Undisclosed Salary,Not known,not fully remote,"Data, English, "
Implementation Specialist (SQL),Suntech,Warszawa,Undisclosed Salary,Not known,not fully remote,"Python, Microsoft Excel, "
Senior Data Engineer,Limango Polska,Wrocław,18 500 - 24 000 pln,212500,Fully remote,"PySpark, Python, SQL, "
Data Engineer,PAYBACK,Warszawa,Undisclosed Salary,Not known,not fully remote,"GBQ, Oracle SQL, "
Programista PL/SQL,PSI Polska Sp.z.o.o.,Poznañ,Undisclosed Salary,Not known,not fully remote,"English, Oracle, "
Administrator MS SQL,CCC S.A.,Wrocław,Undisclosed Salary,Not known,not fully remote,"Microsoft SQL, Business Intelligence, "
Data Analyst,Silky Coders,Gdañsk,Undisclosed Salary,Not known,not fully remote,"SQL, PowerBi, "
Specjalista ds. serwerów aplikacyjnych (on-premise/cloud)â (k/m),Polskie Sieci Elektroenergetyczne S.A.,Konstancin-Jeziorna,Undisclosed Salary,Not known,not fully remote,"SOA, Microsoft Azure, "
Azure Databricks Engineer (mid/senior),BlueSoft,Kraków,Undisclosed Salary,Not known,Fully remote,"Databricks, Python, ADF, "
Senior Data Engineer (Azure),GetInData | Part of Xebia,Warszawa,26 880 - 33 600 pln,302400,Fully remote,"Databricks, Azure, Git, "
Administrator Bazy Danych,Grupa Muszkieterów,Swadzim,Undisclosed Salary,Not known,not fully remote,"Bazy Danych, MsSQL, "
Data And Analytics Manager,PPG,Wrocław,Undisclosed Salary,Not known,not fully remote,"Power BI, Amazon AWS, "
Database Specialist (LUW),HSBC Service Delivery,Kraków,Undisclosed Salary,Not known,not fully remote,"English, Bash, "
Data Analyst z j. niemieckim,dmTECH Polska,Wrocław,25 200 - 30 200 pln,277000,Fully remote,"Niemiecki, Python, SQL, "
Kontroler ds. Automatyzacji Procesów Biznesowych,Adamed,Pabianice,Undisclosed Salary,Not known,Fully remote,"RPA, Webcon, "
Specjalista ds. Automatyzacji Procesów Biznesowych,Adamed,Pabianice,Undisclosed Salary,Not known,Fully remote,"RPA, MS SQL, Webcon, "
PL/SQL Developer,DCG,Warszawa,20 000 - 23 500 pln,217500,not fully remote,"PL/SQL, CI/CD, "
Data Visualization Specialist,Sales&More,Warszawa,7 000 - 11 000 pln,90000,not fully remote,"Machine Learning, MS Excel, "
Senior Platform Engineer (Databricks),GetInData | Part of Xebia,Warszawa,25 200 - 31 080 pln,281400,Fully remote,"Databricks, Apache Spark, Python, "
Data Quality Engineer,NeoGames,Warszawa,Undisclosed Salary,Not known,not fully remote,"SQL, Cypress, "
Senior Data Engineer (Flink),GetInData | Part of Xebia,Warszawa,26 880 - 33 600 pln,302400,Fully remote,"Java / Python, Apache Flink, Cloud, "
Senior SQL Engineer,10 Ten Gaming LLC,Warszawa,28 000 pln,28000,Fully remote,"AWS, SQL, Snowflake, "
Data Engineer,MindPal,Gdańsk,13 000 - 20 000 pln,165000,Fully remote,"SQL, English, Hadoop, "
Business Intelligence Developer,Oviva,Warszawa,Undisclosed Salary,Not known,not fully remote,"Snowflake, Redshift, "
Middle/Senior Data Engineer (FINTECH DOMAIN),Sigma Software,Warszawa,18 000 - 23 000 pln,205000,Fully remote,"Spark, SQL, AWS, "
Data Engineer (Kafka),Link Group,Warszawa,25 200 - 30 240 pln,277200,Fully remote,"Azure, Apache Kafka, Python, "
DataBricks Engineer,CRODU,Kraków,26 880 - 33 600 pln,302400,Fully remote,"Databricks, Big Data, Python, "
Specjalista ds. administracji  (Microsoft Azure) (k/m),Polskie Sieci Elektroenergetyczne S.A.,Konstancin-Jeziorna,Undisclosed Salary,Not known,not fully remote,"Cybersecurity, Terraform, "
Data Scientist Engineer,Samsung R&D Institute Poland,Warszawa,Undisclosed Salary,Not known,not fully remote,"Grafana, Pandas, "
Analytics Engineer,Centrum Respo,Warszawa,15 000 - 21 000 pln,180000,Fully remote,"MongoDB, MySQL, Tableau, "
Specialist Automatic Data Processing,Headquarters Multinational Corps Northeast,Ustowo,Undisclosed Salary,Not known,not fully remote,"MS SQL, Oracle SE, "
Data Engineer (Snowflake & ODI),INSIGHT,Wrocław,19 000 - 25 000 pln,220000,Fully remote,"Oracle Data Integrator, Oracle, SQL, "
Analityk Biznesowo-Systemowy,Asseco Data Systems,Warszawa,Undisclosed Salary,Not known,not fully remote,"XML, "
SQL Database Developer,Raben Management Services,Robakowo,Undisclosed Salary,Not known,not fully remote,"Linux, English, "
AI/ML Engineer,MindPal,Poznań,7 000 - 10 000 pln,85000,Fully remote,"AI, Machine Learning, Python, "
EPM Konsultant,IT CONNECT,Warszawa,Undisclosed Salary,Not known,not fully remote,"Azure, BI, "
Microsoft Power Platform Engineer,C&F S.A.,Warszawa,Undisclosed Salary,Not known,Fully remote,"English, HTML, RDBMS, "
MLOps Engineer in Samsung Ads Project,Samsung R&D Institute Poland,Kraków,Undisclosed Salary,Not known,not fully remote,"Python, Amazon AWS, "
Machine Learning Engineer in Samsung Ads Project,Samsung R&D Institute Poland,Kraków,Undisclosed Salary,Not known,not fully remote,"Python, SQL, "
Enterprise Technology Lead,Asana,Warszawa,Undisclosed Salary,Not known,not fully remote,"SaaS, Databricks, "
Power BI Lead,Altimetrik Poland,Kraków,22 000 - 26 000 pln,240000,Fully remote,"SQL, Azure, Power BI, "
Senior Data Integration Engineer (Databricks),EPAM Systems,Poland (Remote),Undisclosed Salary,Not known,Fully remote,"Python, SQL, Databricks, "
Senior GenAI Engineer,EPAM Systems,Poland (Remote),Undisclosed Salary,Not known,Fully remote,"LLM, AI, Data, "
"Lead Data Software Engineer (Python, Azure)",EPAM Systems,Poland (Remote),Undisclosed Salary,Not known,Fully remote,"Azure, Databricks, Data modeling, "
DATA Engineer,PAYBACK,Warszawa,Undisclosed Salary,Not known,not fully remote,"Agile, SQL, "
Senior Data Engineer,Akamai Technologies,Kraków,19 000 - 20 000 pln,195000,Fully remote,"Python, Scala, Java, "
Senior Machine Learning Engineer,Tooploox,Wrocław,20 000 - 25 000 pln,225000,Fully remote,"Computer Vision, Machine Learning, Python, "
IPC Developer,Avenga,Warszawa,18 500 - 23 500 pln,210000,Fully remote,"SQL, Oracle DB, Informatica Powercenter, "
SQL Developer,Eracent,Warszawa,15 000 - 17 000 pln,160000,not fully remote,"SQL Server, TSQL, "
"Technical Solutions Engineer, Cloud Databases (English, Mandarin)",Google,Dublin,Undisclosed Salary,Not known,not fully remote,"Mandarin, Google App Engine, "
PL/SQL Developer,Connectis,Warszawa,20 000 - 25 000 pln,225000,Fully remote,"PL/SQL, SQL, Oracle APEX, "
"Senior Staff Software Engineer, Machine Learning, Google Cloud",Google,Warszawa,Undisclosed Salary,Not known,not fully remote,"Data Structures, ML, "
Azure Data Engineer,Link Group,Warszawa,18 500 - 24 500 pln,215000,Fully remote,"Datalake, SQL, Databricks, "
Oracle APEX Developer,Pretius,Warszawa,16 800 - 24 000 pln,204000,Fully remote,"Oracle ApplicationExpress, Oracle, Oracle DB, "
Junior Business Intelligence Developer ,Silky Coders,Gdańsk,Undisclosed Salary,Not known,not fully remote,"Git, Power BI, "
"Manager, Data Engineering & Analytics",WP Engine,Kraków,32 400 - 37 000 pln,347000,Fully remote,"Leadership, Data Science, Analytics, "
Database Engineer,VIER GmbH,Poznań,28 644 - 30 355 pln,294995,not fully remote,"Ansible, CockroachDB, "
Senior Site Reliability Specialist,Navblue,Gdańsk,Undisclosed Salary,Not known,not fully remote,"DNS, Cloud, "
Data Scientist,Harman Connected Services,Łódź,17 300 - 24 700 pln,210000,Fully remote,"Snowflake, Python, GitHub Actions, "
Data Solution Architect/Data Architect,Altimetrik Poland,Kraków,27 000 - 37 000 pln,320000,Fully remote,"Python, Data modeling, Data Architecture Design, "
Process Mining Consultant,Heineken,Kraków,Undisclosed Salary,Not known,not fully remote,"Business Intelligence, Databases, "
Data Engineer,Datumo,Poznań,14 000 - 25 000 pln,195000,Fully remote,"Big Data, Python, Cloud, "
Data Engineer (Senior/Principal),Addepto,Warszawa,21 000 - 31 920 pln,264600,Fully remote,"Big Data, Python, Data Integration, "
Data Scientist / ML Engineer,Addepto,Warszawa,14 280 - 28 560 pln,214200,Fully remote,"AI, NLP, Machine Learning, "
Senior Data Engineer (Cloud) ,ITDS,Warszawa,22 000 - 27 300 pln,246500,Fully remote,"SQL, Apache Airflow, GCP/AWS/AZURE, "
BI Team Leader,bolttech Poland Sp. z o.o.,Warszawa,Undisclosed Salary,Not known,not fully remote,"ETL, BI, "
Senior Software Engineer (Databricks),GetInData | Part of Xebia,Warszawa,27 720 - 35 280 pln,315000,Fully remote,"Java / Python / Scala, Databricks, "
Tableau Developer,C&F S.A.,Warszawa,Undisclosed Salary,Not known,Fully remote,"Analytical Thinking, Tableau, SQL, "
